x,y
149,37
0,38
1,38
120,38
121,38
132,38
133,38
134,38
135,38
136,38
149,38
0,39
1,39
119,39
120,39
121,39
134,39
135,39
136,39
137,39
138,39
149,39
0,40
1,40
118,40
119,40
120,40
136,40
137,40
138,40
139,40
140,40
149,40
0,41
1,41
118,41
119,41
138,41
139,41
140,41
141,41
149,41
0,42
1,42
117,42
118,42
119,42
140,42
141,42
142,42
149,42
0,43
1,43
117,43
118,43
140,43
141,43
149,43
0,44
1,44
116,44
117,44
118,44
139,44
140,44
141,44
149,44
0,45
1,45
116,45
117,45
139,45
140,45
149,45
0,46
1,46
115,46
116,46
117,46
138,46
139,46
140,46
149,46
0,47
1,47
115,47
116,47
138,47
139,47
149,47
0,48
1,48
114,48
115,48
116,48
137,48
138,48
139,48
149,48
0,49
1,49
113,49
114,49
115,49
137,49
138,49
149,49
0,50
1,50
53,50
54,50
114,50
115,50
116,50
136,50
137,50
138,50
149,50
0,51
1,51
51,51
52,51
53,51
54,51
55,51
114,51
115,51
116,51
117,51
118,51
135,51
136,51
137,51
149,51
0,52
1,52
50,52
51,52
52,52
53,52
54,52
55,52
56,52
116,52
117,52
118,52
119,52
120,52
135,52
136,52
149,52
0,53
1,53
49,53
50,53
51,53
55,53
56,53
57,53
118,53
119,53
120,53
121,53
134,53
135,53
136,53
149,53
0,54
1,54
47,54
48,54
49,54
50,54
55,54
56,54
57,54
120,54
121,54
122,54
123,54
134,54
135,54
149,54
0,55
1,55
46,55
47,55
48,55
49,55
56,55
57,55
58,55
121,55
122,55
123,55
124,55
125,55
133,55
134,55
135,55
149,55
0,56
1,56
45,56
46,56
47,56
57,56
58,56
59,56
123,56
124,56
125,56
126,56
127,56
133,56
134,56
149,56
0,57
1,57
43,57
44,57
45,57
46,57
58,57
59,57
60,57
125,57
126,57
127,57
128,57
129,57
132,57
133,57
134,57
149,57
0,58
1,58
42,58
43,58
44,58
45,58
58,58
59,58
60,58
127,58
128,58
129,58
130,58
132,58
133,58
149,58
0,59
1,59
41,59
42,59
43,59
59,59
60,59
61,59
129,59
130,59
131,59
132,59
133,59
149,59
0,60
1,60
39,60
40,60
41,60
42,60
60,60
61,60
62,60
130,60
131,60
132,60
149,60
0,61
1,61
38,61
39,61
40,61
41,61
61,61
62,61
149,61
0,62
1,62
37,62
38,62
39,62
61,62
62,62
63,62
149,62
0,63
1,63
35,63
36,63
37,63
38,63
62,63
63,63
64,63
149,63
0,64
1,64
34,64
35,64
36,64
37,64
63,64
64,64
65,64
149,64
0,65
1,65
33,65
34,65
35,65
64,65
65,65
149,65
0,66
1,66
31,66
32,66
33,66
34,66
64,66
65,66
66,66
149,66
0,67
1,67
30,67
31,67
32,67
33,67
65,67
66,67
67,67
149,67
0,68
1,68
29,68
30,68
31,68
66,68
67,68
68,68
149,68
0,69
1,69
29,69
30,69
31,69
67,69
68,69
149,69
0,70
1,70
30,70
31,70
67,70
68,70
69,70
149,70
0,71
1,71
30,71
31,71
32,71
68,71
69,71
70,71
149,71
0,72
1,72
31,72
32,72
33,72
69,72
70,72
71,72
149,72
0,73
1,73
32,73
33,73
34,73
70,73
71,73
125,73
126,73
127,73
128,73
149,73
0,74
1,74
33,74
34,74
70,74
71,74
72,74
125,74
126,74
127,74
128,74
129,74
130,74
149,74
0,75
1,75
33,75
34,75
35,75
70,75
71,75
72,75
125,75
126,75
128,75
129,75
130,75
131,75
149,75
0,76
1,76
34,76
35,76
36,76
69,76
70,76
71,76
124,76
125,76
126,76
130,76
131,76
149,76
0,77
1,77
35,77
36,77
37,77
67,77
68,77
69,77
70,77
124,77
125,77
129,77
130,77
131,77
149,77
0,78
1,78
36,78
37,78
66,78
67,78
68,78
69,78
124,78
125,78
126,78
127,78
129,78
130,78
149,78
0,79
1,79
36,79
37,79
38,79
65,79
66,79
67,79
125,79
126,79
127,79
128,79
129,79
130,79
149,79
0,80
1,80
37,80
38,80
39,80
63,80
64,80
65,80
66,80
127,80
128,80
129,80
149,80
0,81
1,81
38,81
39,81
40,81
62,81
63,81
64,81
65,81
149,81
0,82
1,82
39,82
40,82
60,82
61,82
62,82
63,82
149,82
0,83
1,83
39,83
40,83
41,83
59,83
60,83
61,83
62,83
149,83
0,84
1,84
40,84
41,84
42,84
58,84
59,84
60,84
61,84
149,84
0,85
1,85
41,85
42,85
43,85
56,85
57,85
58,85
59,85
149,85
0,86
1,86
42,86
43,86
55,86
56,86
57,86
58,86
149,86
0,87
1,87
42,87
43,87
44,87
54,87
55,87
56,87
57,87
149,87
0,88
1,88
43,88
44,88
45,88
52,88
53,88
54,88
55,88
149,88
0,89
1,89
44,89
45,89
46,89
51,89
52,89
53,89
54,89
149,89
0,90
1,90
44,90
45,90
46,90
50,90
51,90
52,90
53,90
149,90
0,91
1,91
45,91
46,91
47,91
48,91
49,91
50,91
51,91
149,91
0,92
1,92
46,92
47,92
48,92
49,92
50,92
149,92
0,93
1,93
47,93
48,93
49,93
149,93
0,94
1,94
149,94
0,95
1,95
51,95
52,95
53,95
54,95
149,95
0,96
1,96
50,96
51,96
52,96
53,96
54,96
149,96
0,97
1,97
49,97
50,97
51,97
